epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10019.8,0.37356,0.62219,0.94581,0.90832,0.94129,0.96231,0.90379,0.33799,0.38684,0.88448,0.000371313,0.000371313,0.000371313
43,11013.5,0.381,0.60873,0.94919,0.92648,0.92912,0.96929,0.90961,0.34821,0.35227,0.90553,0.000365125,0.000365125,0.000365125
44,84.7358,0.36109,0.57208,0.93568,0.92089,0.94847,0.97252,0.92618,0.3255,0.38508,0.88093,0.000358938,0.000358938,0.000358938
45,162.94,0.362,0.5506,0.92845,0.93496,0.92059,0.96219,0.91209,0.32347,0.40354,0.87365,0.00035275,0.00035275,0.00035275
46,81.3093,0.32859,0.49734,0.9238,0.8957,0.94829,0.96129,0.91656,0.33056,0.40665,0.87718,0.000346563,0.000346563,0.000346563
47,137.428,0.32575,0.44571,0.90704,0.91121,0.88772,0.95829,0.9105,0.31948,0.45088,0.86787,0.000340375,0.000340375,0.000340375
48,183.176,0.35011,0.57146,0.92887,0.93026,0.95425,0.96587,0.92347,0.31185,0.37667,0.86301,0.000334188,0.000334188,0.000334188
49,229.844,0.34933,0.54258,0.92764,0.92272,0.93469,0.96492,0.91905,0.32674,0.35058,0.86962,0.000328,0.000328,0.000328
50,274.989,0.34359,0.52845,0.92521,0.9314,0.93045,0.97461,0.92817,0.32144,0.38303,0.86558,0.000321812,0.000321812,0.000321812
51,321.072,0.34528,0.5304,0.92386,0.95376,0.91672,0.96389,0.92166,0.30997,0.3714,0.86316,0.000315625,0.000315625,0.000315625
52,46.7925,0.3112,0.46321,0.90934,0.94572,0.93671,0.9594,0.91537,0.3217,0.40131,0.86871,0.000309437,0.000309437,0.000309437
53,92.9714,0.29926,0.40451,0.898,0.94197,0.90041,0.95644,0.91192,0.3249,0.46324,0.86899,0.00030325,0.00030325,0.00030325
54,140.087,0.30954,0.46031,0.90857,0.93473,0.91287,0.96068,0.91808,0.31517,0.41119,0.8714,0.000297063,0.000297063,0.000297063
55,185.8,0.30408,0.44276,0.90365,0.92686,0.94894,0.97536,0.93201,0.32723,0.35898,0.87921,0.000290875,0.000290875,0.000290875
56,232.811,0.30492,0.44778,0.90618,0.92793,0.89717,0.9668,0.92235,0.31853,0.45915,0.86831,0.000284688,0.000284688,0.000284688
57,278.577,0.31148,0.44629,0.91107,0.92675,0.91867,0.96678,0.92323,0.31977,0.40178,0.8704,0.0002785,0.0002785,0.0002785
57,81.1988,0.28767,0.41992,0.89935,0.92532,0.93375,0.9691,0.92986,0.30402,0.38971,0.85591,0.0002785,0.0002785,0.0002785
58,156.61,0.2714,0.35119,0.88599,0.92216,0.94656,0.9555,0.90965,0.32897,0.44892,0.88227,0.000272313,0.000272313,0.000272313
59,232.664,0.28561,0.38901,0.89668,0.92917,0.92003,0.96168,0.92322,0.30837,0.45334,0.86981,0.000266125,0.000266125,0.000266125
60,307.731,0.2797,0.37116,0.89206,0.93255,0.93177,0.96281,0.91992,0.31799,0.39105,0.87093,0.000259938,0.000259938,0.000259938
